execid,exec_lname,exec_fname,exec_mname,exec_fullname,directorid,directorname,forename1,forename2,forename3,forename4,usualname,surname,suffixtitle,score,matchStyle
30883,"Hayford, CPA",MICHAEL,Dale,"Michael Dale Hayford, CPA",536199,Mike Hayford,MICHAEL,Dale,,,Mike,Hayford,MBA CPA,1,fullname+cusip
30883,"Hayford, CPA",MICHAEL,Dale,"Michael Dale Hayford, CPA",536199,Mike Hayford,,,,,,,,9,existing
30886,Read,IAN,C.,Ian C. Read,485621,Ian Read,IAN,C,,,,Read,CA,1,fullname+cusip
31092,"Caulfield, DES, Ph.D",THOMAS,H.,"Thomas H. Caulfield, DES, Ph.D.",453077,Doctor Tom Caulfield,THOMAS,,,,Tom,Caulfield,,2,partialname+cusip
31185,"Davis, J.D.",ROBERT,M.,"Robert M. Davis, J.D.",485800,Rob Davis,ROBERT,M,,,Rob,Davis,,1,fullname+cusip
31306,Widmar,MARK,R.,Mark R. Widmar,488928,Mark Widmar,MARK,R,,,,Widmar,MBA CPA,1,fullname+cusip
31306,Widmar,MARK,R.,Mark R. Widmar,488928,Mark Widmar,,,,,,,,9,existing
32279,Adams,MARK,W.,Mark W. Adams,540099,Mark Adams,MARK,W,,,,Adams,,1,fullname+cusip
32279,Adams,MARK,W.,Mark W. Adams,540099,Mark Adams,MARK,W,,,,Adams,,3,fullname+ticker
32412,Roche,VINCENT,T.,Vincent T. Roche,35469,Vincent Roche,VINCENT,T,,,,Roche,,1,fullname+cusip
32732,Wasserman,YUVAL,,Yuval Wasserman,544257,Yuval Wasserman,YUVAL,,,,,Wasserman,,1,fullname+cusip
33199,Bradway,ROBERT,A.,Robert A. Bradway,534543,Bob Bradway,ROBERT,Alan,,,Bob,Bradway,MBA,1,fullname+cusip
33750,Rhode,JASON,P.,Jason P. Rhode,498587,Doctor Jason Rhode,JASON,P,,,,Rhode,MS PhD,1,fullname+cusip
33791,Gibeau,FRANK,D.,Frank D. Gibeau,495149,Frank Gibeau,FRANK,D,,,,Gibeau,MBA,1,fullname+cusip
33918,Benck,JEFFREY,W.,Jeffrey W. Benck,535295,Jeff Benck,JEFFREY,W,,,Jeff,Benck,MS,1,fullname+cusip
33918,Benck,JEFFREY,W.,Jeffrey W. Benck,535295,Jeff Benck,,,,,,,,9,existing
34151,"Chirico, Jr.",JAMES,M.,"James M. Chirico, Jr.",443474,Jim Chirico Jr,JAMES,Michael,,,Jim,Chirico Jr,,3,fullname+ticker
34151,"Chirico, Jr.",JAMES,M.,"James M. Chirico, Jr.",443474,Jim Chirico Jr,,,,,,,,9,existing
34210,Goodarzi,SASAN,K.,Sasan K. Goodarzi,556870,Sasan Goodarzi,SASAN,Khanlari,,,,Goodarzi,,1,fullname+cusip
35475,Tan,LIP-BU,,Lip-Bu Tan,182411,Lip-Bu Tan,LIP-BU,,,,,Tan,,1,fullname+cusip
35700,"Hugin, MBA",ROBERT,J.,"Robert J. Hugin, MBA",84112,Bob Hugin,ROBERT,J,,,Bob,Hugin,MBA,1,fullname+cusip
35712,Benioff,MARC,R.,Marc R. Benioff,375926,Marc Benioff,MARC,Russell,,,,Benioff,,1,fullname+cusip
35959,"Rothblatt, J.D., M.B",MARTINE,A.,"Martine A. Rothblatt, J.D., M.B.A., Ph.D.",330136,Doctor Martine Rothblatt,MARTINE,A,,,,Rothblatt,JD MBA PhD,1,fullname+cusip
35961,"Jeffs, Ph.D.",ROGER,A.,"Roger A. Jeffs, Ph.D.",330139,Doctor Roger Jeffs,ROGER,A,,,,Jeffs,PhD,1,fullname+cusip
36206,"Kelley, J.D.",STEPHEN,D.,"Stephen D. Kelley, J.D.",647302,Steve Kelley,STEPHEN,Douglas,,,Steve,Kelley,,1,fullname+cusip
36230,"Mosley, Ph.D.",WILLIAM,David,"William David Mosley, Ph.D.",547579,Doctor Dave Mosley,WILLIAM,David,,,Dave,Mosley,,3,fullname+ticker
36261,Aquila,ANTHONY,,Anthony Aquila,598932,Tony Aquila,ANTHONY,,,,Tony,Aquila,,1,fullname+cusip
36373,Pietri,ANTONIO,J.,Antonio J. Pietri,508234,Antonio Pietri,ANTONIO,J,,,,Pietri,MBA,1,fullname+cusip
36516,"Kramer, Sr.",ROBERT,G.,"Robert G. Kramer, Sr.",510070,Bob Kramer Sr,ROBERT,G,,,Bob,Kramer Sr,MBA,1,fullname+cusip
36696,Mollenkopf,STEVEN,M.,Steven M. Mollenkopf,640531,Steve Mollenkopf,STEVEN,M,,,Steve,Mollenkopf,MSEE,1,fullname+cusip
36988,Leav,PETER,A.,Peter A. Leav,833256,Peter Leav,PETER,A,,,,Leav,,1,fullname+cusip
37196,Gelsinger,PATRICK,P.,Patrick P. Gelsinger,486395,Doctor Pat Gelsinger,PATRICK,P,,,Pat,Gelsinger,MS D Litt,1,fullname+cusip
37497,Lynch,ROGER,J.,Roger J. Lynch,8391,Roger Lynch,ROGER,J,,,,Lynch,,1,fullname+cusip
37497,Lynch,ROGER,J.,Roger J. Lynch,8391,Roger Lynch,,,,,,,,9,existing
