tic,sic,gvkey
KZR,2836,33631
QNTM,2834,33634
AUTL,2836,33635
TECX,2836,33657
XERS,2834,33660
GTBIF,2834,33665
VCNX,2836,33780
PLNH,2834,33801
LQDA,2834,33810
MEDIF,2834,34247
PROK,2836,34263
CURLF,2834,34353
PCLOF,2834,34677
BHAT,7372,34915
NGEN,2834,34928
XFOR,2836,34929
PDSB,2836,34942
ENLV,2836,35008
HOOK,2836,35014
TRVI,2834,35054
CBSTF,2834,35119
KRRO,2836,35647
GD,3721,5046
GE,3724,5047
INTC,3674,6008
CCRD,7372,6013
KYOCY,3674,6512
SLNH,7372,7183
MRK,2834,7257
APPS,7372,9551
SMTC,3674,9599
SODI,3674,9799
ARTV,2836,38617
QLYS,7372,11745
PPCB,2836,11885
XOMA,2836,12252
DJCO,7372,12568
HSTC,2836,12573
PLAB,3674,13200
NAII,2834,13765
RGLS,2836,13835
HERXF,3728,15050
VODG,2836,15178
INVU,7372,16069
ABBV,2836,16101
HRGN,2836,16719
EA,7372,16721
ATNM,2836,16947
HURA,2836,17175
AGIO,2836,18159
IPWR,3674,18509
FATE,2836,18562
AAOI,3674,18564
CRSF,7372,18646
MGNX,2836,18658
KPTI,2836,18930
XNCR,2836,18938
RARE,2836,19149
TVRD,2836,19154
AAGH,2834,19317
RVVTF,2836,19502
NGNE,2836,19717
GLMD,2836,19771
ATEN,7372,19849
AKBA,2836,19859
ALDX,2836,20018
CTLT,2834,20228
TBPH,2834,20233
ELTX,2836,20307
RLMD,2834,20720
ATRA,2836,21012
OCUL,2836,21015
ADVM,2836,21020
KPRX,2834,21282
RYTM,2836,21601
NVEC,3674,21743
XENE,2836,21744
CTXR,2834,21807
MRMD,2834,21873
SYZLF,7372,23108
SEDG,3674,23119
CPMD,2834,23490
COLL,2834,23555
ADAPY,2836,23574
PRGS,7372,24352
RPD,7372,24501
PULM,2836,24506
VTVT,2836,24515
LCTX,2836,24996
INTZ,7372,25302
APTOF,2836,25750
LGND,2834,25937
GYRE,2836,25999
CTMX,2836,26112
ARTL,2834,26356
APLS,2836,26359
IMDX,2836,26669
SCWX,7372,26677
AXNVF,7372,27297
ZDGE,7372,27318
KSIOF,7372,27651
INTU,7372,27928
TENX,2836,27939
MRAM,3674,28087
CRSP,2836,28113
HWM,3728,28192
AZN,2834,28272
CKPT,2836,29013
PTN,2836,29086
THTX,2834,29476
VRDN,2836,30311
VHAI,7372,41982
AZPN,7372,30870
ZYME,2836,31059
URGN,2836,31061
STM,3674,31142
TSEM,3674,31255
NTRB,2834,31942
ZLAB,2836,32334
MBIO,2836,32347
KRYS,2836,32348
SPRO,2836,32525
ALTR,7372,32530
IFRX,2836,32640
ARCT,2836,32715
TSNDF,2834,32731
DNLI,2836,32775
PCSA,2834,32846
OSS,3571,32851
HYPD,2836,32861
LASR,3674,33420
SRRK,2836,33445
KNSA,2836,33447
ITRM,2836,33466
REPL,2836,33719
ALLK,2836,33721
CRNX,2834,33723
DVLT,3674,33725
MILFF,2834,33727
ELAN,2834,33955
STRO,2836,34065
ARVN,2836,34077
INMB,2836,34078
APM,2836,34103
CWBHF,2834,34107
KOD,2836,34118
ALLO,2836,34161
BACK,2836,34163
EQ,2836,34164
ACOG,2836,34181
CTKYY,7372,34186
TWST,2836,34241
ESTC,7372,34243
MRNA,2836,34410
SER,2836,34469
CYCN,2836,34746
DTIL,2836,34883
CANSF,2836,35087
NXTC,2836,35090
APLT,2836,35091
MIST,2834,35100
QNCX,2836,35102
AYRWF,2834,35251
STOK,2836,35255
ADCOF,7372,35259
BBIO,2836,35264
AKRO,2836,35267
EDSA,2836,35321
JUSHF,2834,35323
MIRM,2836,35375
FULC,2836,35376
APLIF,2834,35382
APRE,2836,35648
ADCT,2836,35649
BNTX,2836,35653
MNPR,2836,35664
EGLXF,7372,35666
BEAM,2836,35714
CABA,2836,35727
PHAT,2834,35728
FDMT,2836,35729
MTVA,2836,36014
RVMD,2836,36083
GSK,2834,5180
ATXI,2834,31848
MU,3674,7343
VTRS,2834,7637
VYX,7372,7648
NVO,2834,8020
PFE,2834,8530
AGYS,7372,8599
TXN,3674,10499
RGEN,2836,12181
CVM,2836,12711
ABEO,2836,12713
ANIX,2836,12717
VRTC,7372,12731
CDNS,7372,13421
SNGX,2836,13484
HRTX,2836,13786
DELL,3571,14489
TECH,2836,15414
AMBA,3674,15420
GEN,7372,15855
CRUS,3674,16401
PRTA,2836,16745
SPVNF,3674,17386
CMRX,2836,17498
RZLT,2836,17651
ADMA,2836,17653
BLUE,2836,17998
ANIP,2834,18204
PTC,7372,18699
CBIO,2836,18878
AMRX,2834,18888
ZEOX,2836,19135
SNYR,2834,19138
ITCI,2836,19412
MEDXF,2834,19447
CARM,2836,19458
COCP,2834,19467
BIVI,2836,19549
HEPA,2836,19761
KHTRF,2834,19901
SCYX,2836,20040
NERV,2836,20225
FTGFF,3674,20483
VKTX,2836,21032
VYNE,2834,21522
PRQR,2836,21524
CREX,7372,21554
OGI,2834,21577
KSMRF,7372,21832
CHRS,2836,21841
